Equipo,Ciudad,Estadio
Athletic Club,Bilbao,San Mamés
Atletico de Madrid,Madrid,Wanda Metropolitano
Alaves,Vitoria,Mendizorroza
Barcelona,Barcelona,Camp Nou
Getafe,Madrid,Alfonso Pérez
Girona,Gerona,Montilivi
Levante,Valencia,Ciudad de Valencia
Betis,Sevilla,Benito Villamarín
Real Madrid,Madrid,Santiago Bernabéu
Real Sociedad,San Sebastián,Anoeta
Eibar,Éibar,Ipurúa
Huesca,Huesca,Estadio El Alcoraz
Sevilla,Sevilla,Ramón Sánchez Pizjuán
Valencia,Valencia,Mestalla
Valladolid,Valladolid,Estadio José Zorrilla
Villarreal,Villarreal,Estadio de la Cerámica
La Coruña,La Coruña,Abanca-Riazor
Malaga,Malaga,La Rosaleda
Espanyol,barcelona,RCDE Stadium
Las Palmas,Las Palmas,Gran Canaria
Leganes,Leganes,Butarque
Granada,Granada,Nuevo Los Cármenes
Sporting de Gijon,Gijon,El Molinón
Cordoba,Cordoba,Nuevo Arcángel
Elche,Elche,Manuel Martínez Valero
Rayo Vallecano,Madrid,Campo de Vallecas
AD Almeria,Almería,Juegos Mediterráneos
Osasuna,Pamplona,El Sadar
Mallorca,Palma de Mallorca,Iberostar Estadio
Real Zaragoza,Zaragoza,La Romareda
Racing de Santander,Santander,El Sardinero
Tenerife,Santa Cruz de Tenerife,Heliodoro Rodríguez López
Xerez,Jerez de la Frontera,Chapín
Numancia,Soria,Nuevo Los Pajaritos
Recreativo de Huelva,Huelva,Nuevo Colombino
Murcia,Murcia,Nueva Condomina
Gimnastic de Tarragona,Tarragona,Nou Estadi
Cadiz,Cádiz,Ramón de Carranza
Albacete,Albacete,Carlos Belmonte
Real Oviedo,Oviedo,Carlos Tartiere
Celta de Vigo,Pontevedra,Estadio Municipal de Balaídos
Salamanca,Salamanca,Helmántico
Compostela,Santiago de Compostela,San Lázaro
Merida,Merida,Romano José Fouto
Extremadura,Almendralejo,Francisco de la Hera
Logrones,Logroño,Las Gaunas
Lleida,Lerida,Camp d'Esports
Burgos,Burgos,El Plantío
cadiz,Cadiz,Ramón de Carranza
Castellon,Castellón,Nou Castalia
Sabadell,Sabadell,Nova Creu Alta
Almeria, Almeria,Antonio Franco Navarro
